GeneID	meanvect
ENSG00000067704	86.54
ENSG00000067715	5.225
ENSG00000067798	0.415
ENSG00000067829	67.035
ENSG00000067836	15.245
ENSG00000067840	3.365
ENSG00000067842	0.455
ENSG00000067900	20.145
ENSG00000067955	54.115
ENSG00000067992	12.555
ENSG00000068001	23.92
ENSG00000068024	6.935
ENSG00000068028	12.145
ENSG00000068078	23.055
ENSG00000068079	1.51
ENSG00000068097	19.885
ENSG00000068120	67.31
ENSG00000068137	12.385
ENSG00000068305	28.645
ENSG00000068308	60.005
ENSG00000068323	20.255
ENSG00000068354	10.245
ENSG00000068366	22.63
ENSG00000068383	13.78
ENSG00000068394	17.515
ENSG00000068400	23.715
ENSG00000068438	36.505
ENSG00000068489	36.145
ENSG00000068615	7.205
ENSG00000068650	9.98
ENSG00000068654	44.425
ENSG00000068697	90.925
ENSG00000068724	5.67
ENSG00000068745	94.245
ENSG00000068781	0.325
ENSG00000068784	11.725
ENSG00000068796	53.84
ENSG00000068831	1.865
ENSG00000068878	37.31
ENSG00000068885	21.47
ENSG00000068903	23.99
ENSG00000068912	23.125
ENSG00000068971	8.7
ENSG00000068976	0.42
ENSG00000068985	0
ENSG00000069011	43.12
ENSG00000069018	0.235
ENSG00000069020	3.53
ENSG00000069122	0
ENSG00000069188	8.855
ENSG00000069206	0
ENSG00000069248	59.99
ENSG00000069275	390.905
ENSG00000069329	50.64
ENSG00000069345	56.255
ENSG00000069399	1.635
ENSG00000069424	4.52
ENSG00000069431	0.395
ENSG00000069482	99.79
ENSG00000069493	4.01
ENSG00000069509	26.645
ENSG00000069535	0.335
ENSG00000069667	5.24
ENSG00000069696	3.455
ENSG00000069702	12.995
